LocaleIdentifier,TH
MsgPinIdentificationUpdateSuccess,อัปเดตเครื่องบริการชำระเงิน รหัส ‘%@’ สำเร็จแล้ว โปรดรีเฟรชทุกเครื่อง
MsgPinIdentificationUpdateFail,การอัปเดตเครื่องบริการชำระเงิน รหัส ‘%@’ ล้มเหลว 
MsgPinIPAddressUpdateSuccess,อัปเดตที่อยู่ไอพีของเครื่องบริการชำระเงิน ‘%@’ สำเร็จแล้ว โปรดรีเฟรชทุกเครื่อง
MsgPinIPAddressUpdateFail,การอัปเดตที่อยู่ไอพีของเครื่องบริการชำระเงิน ‘%@’ ล้มเหลว
MsgPinInvalidSettingsTitle,การตั้งค่าของคุณไม่ตรงกัน
MsgPinInvalidLoginMethod,โปรดเข้าสู่ระบบผ่านทางการรูดบัตร  การป้อนข้อมูลเองไม่ได้รับการสนับสนุน
MsgPinRedirectedPrintersInfo,คุณมี %d เครื่องพิมพ์ที่ได้เชื่อมโยงใหม่
MsgUserRequireAdminCard,ผู้ใช้นี้ต้องใช้บัตรผู้ดูแลระบบเพื่อ %@
MsgProvisionEnterPin,ป้อน PIN ที่จัดหาให้
MsgProvisionPin,PIN ที่จัดหาให้
MsgDiningTitle,การรับประทานอาหาร
MsgDiningOrderOptionTitle,ตัวเลือกคำสั่งซื้อ
MsgDiningTakeOut,นำกลับบ้าน
MsgDiningWebOrder,คำสั่งซื้อออนไลน์
MsgDiningWebInvoice,ใบแจ้งหนี้ทางเว็บ
MsgDiningCatering,บริการจัดเตรียมอาหาร
MsgDiningDriveThrough,ขับผ่าน
MsgDiningShipping,การส่งมอบ
MsgDiningOther,อื่น ๆ
MsgDiningRetail,การขายปลีก
MsgDiscountTitle,ส่วนลด
MsgDiscountSelectItemTitle,เลือกรายการสำหรับส่วนลด
MsgDiscountSelectDiscount,เลือกส่วนลด
MsgDiscountItemAmountTooSmall,รายการไม่สอดคล้องกับจำนวนเงินขั้นต่ำสุดสำหรับส่วนลด
MsgDiscountAmount,จำนวนเงิน
MsgDiscountValue,มูลค่า
MsgDiscountPercent,ร้อยละ
MsgDiscountReprice,กำหนดราคาใหม่
MsgDiscountEnterAmount,ป้อนจำนวนเงิน
MsgDiscountEnterValue,ป้อนมูลค่า
MsgDiscountTaxed,เรียกเก็บภาษี
MsgDiscountEnterReason,ป้อนเหตุผล
MsgDiscountEnterReasonAndAmount,โปรดป้อนทั้งเหตุผล และจำนวนเงิน
MsgDiscountEnterAnotherReason,โปรดป้อนเหตุผลส่วนลดอื่น ๆ 
MsgDiscountNoDiscountsForCode,ไม่พบส่วนลดที่ยังคงใช้งานได้ สำหรับรหัสส่วนลดที่จัดเตรียมไว้
MsgDiscountLoaylTreeWait,กำลังรอการตอบสนองจาก LoyalTree
MsgDiscountLoaylTreeTitle,LoyalTree
